"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Cyprus","CYP","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","351171","359896","362586","369918","378426","387892","398197","409181","420643","432412","444376","466012","478168","499598","510737","524962","541304","562541","574967","584396","602913","608583","612980","618239","628856","620365","615787","625144","638543","649712","651740","655118",
"Czechia","CZE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4980509","5010379","5050291","5089950","5143883","5166080","5168272","5145054","5159378","5180910","5145060","5114290","5111439","5111710","5110793","5171492","5191920","5188504","5211811","5255697","5239650","5222763","5254149","5302824","5300088","5309480","5354440","5386053","5425122","5421467","5375292","5266397",
"Germany","DEU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38660510","39804077","39612798","39581565","39633067","39495616","39594509","39749959","39817898","40032412","39865801","40029198","40056637","40236914","40039825","41239998","41693115","41861248","41917491","41978630","41949334","41729225","41853628","42212987","42458390","42660627","43574366","43819028","43935037","44433742","44182576","43967641",
"Djibouti","DJI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117608","128581","127660","125203","127756","129310","132722","138816","146257","152580","157940","163668","169129","172429","174171","176265","179038","182585","186072","189722","193388","197606","201929","206403","211007","215679","220727","225672","230544","235373","235839","240525",
"Dominica","DMA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2905194","2903665","2924273","2898901","2775171","2793251","2827134","2841305","2832388","2861273","2853060","2841508","2868928","2868194","2895623","2893154","2917717","2924753","2918711","2909159","2888564","2887130","2871734","2850392","2865028","2895364","2939677","2966464","2990219","3032098","3028252","3050671",
"Dominican Republic","DOM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2481383","2544362","2625024","2700435","2769909","2847237","2925460","3009132","3089663","3169429","3246426","3246913","3331113","3342971","3424410","3480355","3593807","3660256","3757662","3690074","3844470","4015614","4176432","4236156","4325193","4579344","4685793","4752184","4931651","5114924","4804576","5027108",
"Algeria","DZA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6398310","6653838","6888852","7163372","7437727","7685615","7968414","8233015","8477091","8701391","8926622","9145785","9355943","9556009","9747177","9916026","10077550","10244513","10402785","10551825","10832191","10616990","11293832","11793700","11392848","11709818","11918421","12073799","12232256","12413307","12016029","12312259",
"East Asia & Pacific (excluding high income)","EAP","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","846708373","859669852","873752810","886234027","901634360","916385252","932175083","947545295","963911892","978837595","994391659","1007014029","1018079865","1030015992","1041792097","1052378160","1062118003","1073067073","1078785464","1082845490","1087009365","1101056993","1109241251","1114104520","1122165682","1129154579","1133889030","1136627603","1142631575","1148353332","1139155568","1145375864",
"Early-demographic dividend","EAR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","733800382","753480793","773508975","790955278","813095323","831487365","852745625","874870181","897769755","920396139","941173800","963622069","983858839","1007544610","1032843091","1055627954","1071596260","1090563638","1104501233","1119692877","1137037206","1151598240","1167284148","1183744247","1198436050","1216713581","1233931893","1251193674","1268710907","1292560366","1247061984","1287556776",
"East Asia & Pacific","EAS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","953711598","968828197","984523939","997975472","1014822783","1030789650","1048037928","1064825825","1081125307","1096447030","1112758554","1125964528","1137315183","1149308071","1161780361","1173216967","1183973975","1196024541","1202458418","1206738890","1211459462","1226053678","1234858916","1240849858","1250218651","1258396086","1264312300","1268442029","1276242758","1283385789","1273672740","1279555357",
"Europe & Central Asia (excluding high income)","ECA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","163064148","164885111","166428066","164019498","163808768","163728444","163052174","161699663","161735323","166509255","166318125","165891784","167504818","167425155","167697901","168724841","169123896","171232619","172929321","173757835","175173081","176975594","177600729","178690611","179920406","181192354","182400593","183268957","183864962","183496657","179322099","179541409",
"Europe & Central Asia","ECS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","385782146","390194549","391877135","389220461","389245497","389167453","389169833","389041033","390741079","397221086","398288163","398152614","400896948","402807307","404530574","408507072","411325943","415336069","419307601","420943078","422733165","424536554","426912323","428853769","431161981","433200503","436078798","438177083","439848361","440574526","434305693","435871948",
"Ecuador","ECU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4048573","4175636","4285220","4389915","4510027","4617573","4722823","4891099","5169290","5271028","5375832","5485176","5599402","5717711","6049202","6151040","6391164","6431062","6561532","6457727","6467670","6517322","6732540","6857058","7045425","7548659","7951902","8190955","8227052","8387366","7769265","8527976",
"Egypt, Arab Rep.","EGY","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15711761","16171285","16784931","17515926","18400048","18571620","18866025","19171581","19483789","20736023","20772661","20792032","20589710","21665374","22756746","23853892","24954021","26081669","26485023","27281764","28739909","29061496","29544120","30181705","30655760","30540697","30960822","30469262","29934385","29715964","29582381","30178752",
"Euro area","EMU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138531453","140864435","140974962","141269565","141951155","142184743","143157519","144001084","145570458","147044501","148069147","148588354","150577063","152765180","153925367","156281373","158003634","159578338","161212465","161588646","161717981","161423250","162514551","162916300","163259904","163605542","164894817","165564267","166277260","167040414","165204010","166633701",
"Eritrea","ERI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","948847","901251","849210","880982","912380","981627","1040189","1039267","1042737","1050109","1061370","1094095","1138060","1195723","1254582","1282894","1300239","1317145","1359295","1401644","1435159","1470749","1498381","1524248","1537692","1544361","1556388","1575716","1609423","1648286","1592705","1675046",
"Spain","ESP","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15124201","15191217","15909664","16132988","16455792","16585982","16860322","17178426","17426658","17735704","18263539","18184442","19053511","19825362","20505215","21315682","21990954","22626908","23271402","23490156","23607152","23690254","23713046","23470419","23230457","23182291","23096169","23011543","23076783","23301577","22994242","23381693",
"Estonia","EST","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","897758","878052","835849","792602","775597","745839","719089","695148","672738","665100","678069","669745","657853","678034","679195","674771","694529","691193","695446","688480","682814","688142","684508","681106","675815","686271","693623","702149","705405","705769","706678","704674",
